company_name,linkedin_url,date,number_of_senior_hires,number_of_other_hires
oyo,https://www.linkedin.com/company/oyo-rooms/,February 2021,1,156
oyo,https://www.linkedin.com/company/oyo-rooms/,March 2021,0,134
oyo,https://www.linkedin.com/company/oyo-rooms/,April 2021,1,133
oyo,https://www.linkedin.com/company/oyo-rooms/,May 2021,0,180
oyo,https://www.linkedin.com/company/oyo-rooms/,June 2021,1,170
oyo,https://www.linkedin.com/company/oyo-rooms/,July 2021,0,139
oyo,https://www.linkedin.com/company/oyo-rooms/,August 2021,2,184
oyo,https://www.linkedin.com/company/oyo-rooms/,September 2021,0,147
oyo,https://www.linkedin.com/company/oyo-rooms/,October 2021,1,149
oyo,https://www.linkedin.com/company/oyo-rooms/,November 2021,2,207
oyo,https://www.linkedin.com/company/oyo-rooms/,December 2021,2,181
oyo,https://www.linkedin.com/company/oyo-rooms/,January 2022,3,256
oyo,https://www.linkedin.com/company/oyo-rooms/,February 2022,2,188
oyo,https://www.linkedin.com/company/oyo-rooms/,March 2022,0,227
oyo,https://www.linkedin.com/company/oyo-rooms/,April 2022,3,233
oyo,https://www.linkedin.com/company/oyo-rooms/,May 2022,1,244
oyo,https://www.linkedin.com/company/oyo-rooms/,June 2022,2,225
oyo,https://www.linkedin.com/company/oyo-rooms/,July 2022,1,237
oyo,https://www.linkedin.com/company/oyo-rooms/,August 2022,2,227
oyo,https://www.linkedin.com/company/oyo-rooms/,September 2022,0,233
oyo,https://www.linkedin.com/company/oyo-rooms/,October 2022,0,147
oyo,https://www.linkedin.com/company/oyo-rooms/,November 2022,0,145
oyo,https://www.linkedin.com/company/oyo-rooms/,December 2022,2,154
oyo,https://www.linkedin.com/company/oyo-rooms/,January 2023,0,158
oyo,https://www.linkedin.com/company/oyo-rooms/,February 2023,0,79
apple,https://www.linkedin.com/company/apple/,February 2021,2,1431
apple,https://www.linkedin.com/company/apple/,March 2021,1,1684
apple,https://www.linkedin.com/company/apple/,April 2021,0,1576
apple,https://www.linkedin.com/company/apple/,May 2021,1,2258
apple,https://www.linkedin.com/company/apple/,June 2021,1,2885
apple,https://www.linkedin.com/company/apple/,July 2021,3,2892
apple,https://www.linkedin.com/company/apple/,August 2021,3,4900
apple,https://www.linkedin.com/company/apple/,September 2021,2,4257
apple,https://www.linkedin.com/company/apple/,October 2021,1,4144
apple,https://www.linkedin.com/company/apple/,November 2021,0,4262
apple,https://www.linkedin.com/company/apple/,December 2021,2,2739
apple,https://www.linkedin.com/company/apple/,January 2022,0,3956
apple,https://www.linkedin.com/company/apple/,February 2022,2,2924
apple,https://www.linkedin.com/company/apple/,March 2022,2,3318
apple,https://www.linkedin.com/company/apple/,April 2022,1,3834
apple,https://www.linkedin.com/company/apple/,May 2022,0,6651
apple,https://www.linkedin.com/company/apple/,June 2022,2,6974
apple,https://www.linkedin.com/company/apple/,July 2022,2,6493
apple,https://www.linkedin.com/company/apple/,August 2022,1,5961
apple,https://www.linkedin.com/company/apple/,September 2022,1,4625
apple,https://www.linkedin.com/company/apple/,October 2022,3,5575
apple,https://www.linkedin.com/company/apple/,November 2022,0,4156
apple,https://www.linkedin.com/company/apple/,December 2022,1,3004
apple,https://www.linkedin.com/company/apple/,January 2023,0,21534
